,,,,,,,PILLARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Transcript Complete & Delivered?,Behind the Scenes in Ambassador Resources page?,Guest on Global Resources Map?,COMMUNITY,CULTURE,ECONOMY,ECOLOGY,HEALTH,BIOCHAR,BIO-DYNAMICS,BUSINESS,CLIMATE & SCIENCE,COMMUNITY,ECOLOGY & NATURE,EDUCATION,ESOTERICA,FARMING & FOOD,GREEN BUILDING,GREEN FAITH,HEALTH & WELLNESS,HERBAL MEDICINE,IMPACT INVESTING,INDIGENOUS WISDOM,MEDIA BOOKS & CONTENT,PERMA-CULTURE,POLICY & GOVERNMT,REGEN / SOCIAL ENTERPRISE,SOIL,SUSTAIN-ABILITY,TECHNOLOGY & MATERIALS,,COLORAOD & WYOMING
83,Ryan Lewis,Earth Hero!,"Boulder, CO",X,X,X,,,X,X,,,,X,,X,,,,,,,,,,,,,,,,X,,,1
84,Judith Schwartz,"""The Reindeer Chronicles""","Bennington, VT",X,X,X,,X,,X,,,,,X,X,X,X,,X,,,,,,X,X,,,,X,X,,,
85,Kate Williams,1% for the Planet,"Burlington, Vt",X,X,X,X,X,X,X,,,,X,X,X,X,X,,,,,,,,,,,,X,,X,,,
86,Jacquelyne Francis,Keeling Curve Prize,"Aspen, CO",X,X,X,,,,X,,,,,X,X,,X,,,,,,,,,,,,,,X,,,
87,Rennie Davis,Foundation for Humanity,"Weld County, CO",X,X,X,,X,,,,,,,X,X,,X,,,,,,,,,,,,,,X,,,1
88,General Wesley Clark,Supreme Commander NATO (Former),"Little Rock, AR",X,X,X,,,X,X,,,,X,X,X,,,,,,,,,X,,,,X,,,X,X,,
89,Yichao Rui,Rodale Institute,"Kutztown, PA",X,X,X,,,,X,X,,,,X,X,X,,,X,,,,,,,,,,,X,X,,,
90,Nicole Wallace & Tyler Bell,Vera Herbals,"Carbondale, CO",X,X,X,X,,,,X,,,X,,X,,,X,,,,X,X,,,,,,,,,,,1
91,Finian Makepeace,Kiss the Ground Movie,"Los Angeles, Ca",X,X,X,,X,,X,X,,,,X,X,X,X,,X,,,,,,,X,,,,X,X,,,
92,Aaron William Perry,Thanksgiving / Holiday Special - Regen Econ,"Boulder, CO",X,X,X,X,X,X,X,X,,,X,X,X,X,X,,X,,,X,,,,,,,X,X,X,,,1
93,Mike Lewis,Zeal Optics,"Boulder, CO",X,X,X,,,X,X,,,,X,,X,,,,,,,,,,,,,,,,X,X,,1
94,Tom Chi,GoogleX,"San Francisco,CA",X,X,X,,,X,X,,,,X,X,,X,,,,,,,,X,,,,,,,X,X,,
95,John Liu,Ecosystem Restoration Camps,"Chaoyang Qu, Beijing, China",X,X,X,,,,X,,,,,X,X,X,X,,X,,,,,,,X,X,,,X,X,,,
96,John Fullerton,Capital Institute,"Rye, NY",X,X,X,,,X,,,,,X,X,,X,X,,,,,,,X,,X,,X,X,,X,,,
97,Ron Lemire,Liquid Trainer,"Boulder, CO",X,X,X,,X,,,X,,,X,,X,,X,,,,,X,,,,,,,,,,,,1
98,Lin Bautze,Goetheanum / Global Biodynamic Conference,"Zeihen, Aargau, Switzerland",X,X,X,,X,,X,X,,X,,X,X,X,X,,X,,,,X,,,,,,,X,X,,,
99,David Beasley,World Food Program,"Rome, Italy",X,X,X,X,X,,,X,,,,X,X,,X,,X,,,,,,,,,X,,,X,,,
100,Aaron William Perry,"Vision, Invitation","Lyons, CO",X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,1
101,William (Sandy) Karstens,Esoterica / SRICF,"Colchester, VT",X,X,X,,X,,,,,,,,X,,X,X,,,X,,,,,,,,,,,,,
102,Julie & Louise,PPAN - People & Pollinators,"Boulder, CO",X,X,X,,X,,X,X,,,,X,X,X,X,,,,,,,,,,,X,,,X,,,1
103,Nick Chambers,Homesteading & Micro Technology,"Crestone, CO",X,X,X,X,X,,X,X,,,,,X,X,X,,X,,,,,,,,,,,,X,,,1
